[30  2],[27  3],[22  2],[21  1],[18  2],[17  1],[17  1],[14  2],[13  1],[10  2],[9 1],[7 3],[3 3],[2 1],[17  2],[17  3],[15  3],[15  1],[15  2],[15  3],[14  2],[14  1],[14  3]
[30  2],[27  3],[22  2],[21  1],[18  2],[17  1],[17  1],[14  2],[13  1],[10  2],[9 1],[7 3],[3 3],[2 1],[17  2],[17  3],[15  3],[15  1],[15  2],[15  3],[14  2],[14  1],[14  3]
[30  2],[27  3],[22  2],[21  1],[18  2],[17  1],[17  1],[14  2],[13  1],[10  2],[9 1],[7 3],[3 3],[2 1],[17  2],[17  3],[15  3],[15  1],[15  2],[15  3],[14  2],[14  1],[14  3]
[30  2],[27  3],[22  2],[21  1],[18  2],[17  1],[17  1],[14  2],[13  1],[10  2],[9 1],[7 3],[3 3],[2 1],[17  2],[17  3],[15  3],[15  1],[15  2],[15  3],[14  2],[14  1],[14  3],[32  5]
[30  2],[27  3],[22  2],[21  1],[18  2],[17  1],[17  1],[14  2],[13  1],[10  2],[9 1],[7 3],[3 3],[2 1],[17  2],[17  3],[15  3],[15  1],[15  2],[15  3],[14  2],[14  1],[14  3]
[30  2],[27  3],[22  2],[21  1],[18  2],[17  1],[17  1],[14  2],[13  1],[10  2],[9 1],[7 3],[3 3],[2 1],[17  2],[17  3],[15  3],[15  1],[15  2],[15  3],[14  2],[14  1],[14  3]
[30  2],[27  3],[22  2],[21  1],[18  2],[17  1],[17  1],[14  2],[13  1],[10  2],[9 1],[7 3],[3 3],[2 1],[17  2],[17  3],[15  3],[15  1],[15  2],[15  3],[14  2],[14  1],[14  3]
[30  2],[27  3],[22  2],[21  1],[18  2],[17  1],[17  1],[14  2],[13  1],[10  2],[9 1],[7 3],[3 3],[2 1],[17  2],[17  3],[15  3],[15  1],[15  2],[15  3],[14  2],[14  1],[14  3]
[30  2],[27  3],[22  2],[21  1],[18  2],[17  1],[17  1],[14  2],[13  1],[10  2],[9 1],[7 3],[3 3],[2 1],[17  2],[17  3],[15  3],[15  1],[15  2],[15  3],[14  2],[14  1],[14  3],[32  5]
[30  2],[27  3],[22  2],[21  1],[18  2],[17  1],[17  1],[14  2],[13  1],[10  2],[9 1],[7 3],[3 3],[2 1],[17  2],[17  3],[15  3],[15  1],[15  2],[15  3],[14  2],[14  1],[14  3]
[30  2],[27  3],[22  2],[21  1],[18  2],[17  1],[17  1],[14  2],[13  1],[10  2],[9 1],[7 3],[3 3],[2 1],[17  2],[17  3],[15  3],[15  1],[15  2],[15  3],[14  2],[14  1],[14  3],[32  5]
[30  2],[27  3],[22  2],[21  1],[18  2],[17  1],[17  1],[14  2],[13  1],[10  2],[9 1],[7 3],[3 3],[2 1],[17  2],[17  3],[15  3],[15  1],[15  2],[15  3],[14  2],[14  1],[14  3]
[30  2],[27  3],[22  2],[21  1],[18  2],[17  1],[17  1],[14  2],[13  1],[10  2],[9 1],[7 3],[3 3],[2 1],[17  2],[17  3],[15  3],[15  1],[15  2],[15  3],[14  2],[14  1],[14  3]
[30  2],[27  3],[22  2],[21  1],[18  2],[17  1],[17  1],[14  2],[13  1],[10  2],[9 1],[7 3],[3 3],[2 1],[17  2],[17  3],[15  3],[15  1],[15  2],[15  3],[14  2],[14  1],[14  3],[32  5]
[30  2],[27  3],[22  2],[21  1],[18  2],[17  1],[17  1],[14  2],[13  1],[10  2],[9 1],[7 3],[3 3],[2 1],[17  2],[17  3],[15  3],[15  1],[15  2],[15  3],[14  2],[14  1],[14  3]
[30  2],[27  3],[22  2],[21  1],[18  2],[17  1],[17  1],[14  2],[13  1],[10  2],[9 1],[7 3],[3 3],[2 1],[17  2],[17  3],[15  3],[15  1],[15  2],[15  3],[14  2],[14  1],[14  3],[32  5]
[30  2],[27  3],[22  2],[21  1],[18  2],[17  1],[17  1],[14  2],[13  1],[10  2],[9 1],[7 3],[3 3],[2 1],[17  2],[17  3],[15  3],[15  1],[15  2],[15  3],[14  2],[14  1],[14  3]
[30  2],[27  3],[22  2],[21  1],[18  2],[17  1],[17  1],[14  2],[13  1],[10  2],[9 1],[7 3],[3 3],[2 1],[17  2],[17  3],[15  3],[15  1],[15  2],[15  3],[14  2],[14  1],[14  3],[32  5],[27  1],[25  1],[23  1],[21  1],[19  1],[17  1],[15  3],[11  1],[9 1],[7 1],[5 1],[3 1]
[30  2],[27  3],[22  2],[21  1],[18  2],[17  1],[17  1],[14  2],[13  1],[10  2],[9 1],[7 3],[3 3],[2 1],[17  2],[17  3],[15  3],[15  1],[15  2],[15  3],[14  2],[14  1],[14  3],[32  5],[27  1],[25  1],[23  1],[21  1],[19  1],[17  1],[15  3],[11  1],[9 1],[7 1],[5 1],[3 1],[32  5],[25  3],[21  2],[18  1],[16  1],[12  2],[9 2],[6 3],[2 1]
[30  2],[27  3],[22  2],[21  1],[18  2],[17  1],[17  1],[14  2],[13  1],[10  2],[9 1],[7 3],[3 3],[2 1],[17  2],[17  3],[15  3],[15  1],[15  2],[15  3],[14  2],[14  1],[14  3]
[30  2],[27  3],[22  2],[21  1],[18  2],[17  1],[17  1],[14  2],[13  1],[10  2],[9 1],[7 3],[3 3],[2 1],[17  2],[17  3],[15  3],[15  1],[15  2],[15  3],[14  2],[14  1],[14  3]
[30  2],[27  3],[22  2],[21  1],[18  2],[17  1],[17  1],[14  2],[13  1],[10  2],[9 1],[7 3],[3 3],[2 1],[17  2],[17  3],[15  3],[15  1],[15  2],[15  3],[14  2],[14  1],[14  3],[32  5]
[30  2],[27  3],[22  2],[21  1],[18  2],[17  1],[17  1],[14  2],[13  1],[10  2],[9 1],[7 3],[3 3],[2 1],[17  2],[17  3],[15  3],[15  1],[15  2],[15  3],[14  2],[14  1],[14  3],[32  5],[32  5]
